Date,Time,CPU Temp,CPU Load,Total Mem,Free Mem,Used Mem
13-10-2021,16:08:52,65.0,57.8172,895008,641884,253124
13-10-2021,16:08:53,65.5,59.7257,895008,621560,273448
13-10-2021,16:08:54,66.6,60.4799,895008,621300,273708
13-10-2021,16:08:55,68.8,61.2495,895008,620904,274104
13-10-2021,16:08:56,68.8,61.9734,895008,621112,273896
13-10-2021,16:08:57,69.8,62.5438,895008,620888,274120
13-10-2021,16:08:58,69.8,63.047,895008,620192,274816
13-10-2021,16:08:59,70.9,63.4306,895008,620456,274552
13-10-2021,16:09:00,70.9,63.9209,895008,620252,274756
13-10-2021,16:09:01,70.9,64.3657,895008,619680,275328
13-10-2021,16:09:02,72.5,64.7353,895008,619916,275092
13-10-2021,16:09:03,73.1,65.0559,895008,619448,275560
13-10-2021,16:09:04,73.6,65.4205,895008,619704,275304
13-10-2021,16:09:06,73.6,65.623,895008,619560,275448
13-10-2021,16:09:07,74.7,65.9202,895008,617656,277352
13-10-2021,16:09:08,74.7,66.1969,895008,619796,275212
13-10-2021,16:09:09,75.2,66.3461,895008,618696,276312
13-10-2021,16:09:10,75.2,66.4957,895008,618848,276160
13-10-2021,16:09:11,75.2,66.6947,895008,619680,275328
13-10-2021,16:09:12,75.8,66.869,895008,619140,275868
13-10-2021,16:09:13,76.3,67.0406,895008,619748,275260
13-10-2021,16:09:14,76.8,67.2258,895008,619432,275576
13-10-2021,16:09:15,76.8,67.3162,895008,619828,275180
13-10-2021,16:09:16,77.4,67.4001,895008,619908,275100
13-10-2021,16:09:18,77.9,67.5949,895008,619964,275044
13-10-2021,16:09:19,77.4,67.6906,895008,619936,275072
13-10-2021,16:09:20,77.9,67.8161,895008,619784,275224
13-10-2021,16:09:21,78.4,67.9036,895008,619700,275308
13-10-2021,16:09:22,77.9,67.9795,895008,618844,276164
13-10-2021,16:09:23,77.9,68.0781,895008,618408,276600
13-10-2021,16:09:24,79.0,68.2261,895008,620532,274476
13-10-2021,16:09:25,79.0,68.3763,895008,618604,276404
13-10-2021,16:09:26,78.4,68.4637,895008,618280,276728
13-10-2021,16:09:27,79.0,68.5501,895008,619164,275844
13-10-2021,16:09:29,79.5,68.6687,895008,620172,274836
13-10-2021,16:09:30,79.5,68.7717,895008,618836,276172
13-10-2021,16:09:31,80.1,68.8208,895008,619140,275868
13-10-2021,16:09:32,80.1,68.9109,895008,619668,275340
13-10-2021,16:09:33,80.1,68.9602,895008,618552,276456
13-10-2021,16:09:34,80.1,69.0111,895008,617776,277232
13-10-2021,16:09:35,80.6,69.1513,895008,619244,275764
13-10-2021,16:09:36,81.1,69.2725,895008,618572,276436
13-10-2021,16:09:37,80.1,69.333,895008,618076,276932
13-10-2021,16:09:38,80.6,69.3581,895008,619000,276008
13-10-2021,16:09:40,80.6,69.4479,895008,619576,275432
13-10-2021,16:09:41,81.1,69.5245,895008,616820,278188
13-10-2021,16:09:42,81.1,69.5921,895008,619412,275596
13-10-2021,16:09:43,80.6,69.6599,895008,620040,274968
13-10-2021,16:09:44,81.1,69.7416,895008,618284,276724
13-10-2021,16:09:45,81.7,69.8069,895008,618120,276888
13-10-2021,16:09:46,81.1,69.8463,895008,618872,276136
13-10-2021,16:09:47,80.6,69.9571,895008,618592,276416
13-10-2021,16:09:48,81.7,70.069,895008,618232,276776
13-10-2021,16:09:49,81.1,70.2694,895008,619564,275444
13-10-2021,16:09:50,81.7,70.3499,895008,619564,275444
